history_id,account_id,borrower_id,event_at,status,changed_by,source,recorded_at,snap_month,loan_type,dpd,risk_segment,outstanding_amount
HISTORY0015810,ACC0014845,BRW0006495,2026-06-16 21:35:57,NPA,AGT0000094,CALL,2026-06-17 19:06:14,2026-06,CREDIT_CARD,5,MEDIUM,331830.69
HISTORY0011650,ACC0017418,BRW0007464,2026-06-16 21:33:11,ACTIVE,AGT0000074,CORE,2026-06-17 02:02:30,2026-06,CONSUMER,1,NPA,664742.21
HISTORY0005088,ACC0025662,BRW0003569,2026-06-16 21:30:25,ACTIVE,AGT0000021,BATCH,2026-06-16 10:14:24,2026-06,PERSONAL,15,LOW,340525.37
HISTORY0038172,ACC0006200,BRW0000314,2026-06-16 21:25:14,WRITEOFF,AGT0000098,PAYMENT,2026-06-16 14:01:22,2026-06,CONSUMER,75,NPA,659342.79
HISTORY0026679,ACC0015831,BRW0008045,2026-06-16 21:15:50,WRITEOFF,AGT0000004,CORE,2026-06-16 03:21:40,2026-06,PERSONAL,1,NPA,357098.11
HISTORY0032512,ACC0004425,BRW0006195,2026-06-16 21:09:25,PTP,AGT0000093,CORE,2026-06-17 16:21:37,2026-06,CREDIT_CARD,30,NPA,219976.12
HISTORY0019533,ACC0000798,BRW0008876,2026-06-16 21:05:03,ACTIVE,AGT0000060,FIELD,2026-06-17 19:49:14,2026-06,AUTO,60,NPA,175426.36
HISTORY0017574,ACC0008102,BRW0002459,2026-06-16 21:02:39,WRITEOFF,AGT0000042,PAYMENT,2026-06-16 17:08:25,2026-06,CONSUMER,0,LOW,510083.66
HISTORY0058182,ACC0003306,BRW0001369,2026-06-16 20:59:20,CLOSED,AGT0000016,CORE,2026-06-17 03:44:22,2026-06,CREDIT_CARD,0,HIGH,601328.0
HISTORY0001881,ACC0013971,BRW0011735,2026-06-16 20:54:51,ACTIVE,AGT0000094,CORE,2026-06-16 10:10:13,2026-06,BNPL,180,LOW,548266.13
HISTORY0048182,ACC0022450,BRW0000207,2026-06-16 20:52:46,DELINQUENT,AGT0000087,CALL,2026-06-17 18:59:46,2026-06,CONSUMER,60,NPA,672883.9
HISTORY0057028,ACC0008853,BRW0000374,2026-06-16 20:48:51,PAID,AGT0000096,FIELD,2026-06-16 08:07:28,2026-06,CONSUMER,1,MEDIUM,433303.15
HISTORY0010293,ACC0000567,BRW0003529,2026-06-16 20:38:24,NPA,AGT0000010,CALL,2026-06-17 01:02:50,2026-06,PERSONAL,15,MEDIUM,373601.68
HISTORY0013730,ACC0008297,BRW0004704,2026-06-16 20:35:52,NPA,AGT0000039,FIELD,2026-06-17 14:01:11,2026-06,CREDIT_CARD,180,LOW,567460.96
HISTORY0013450,ACC0015999,BRW0011660,2026-06-16 20:33:45,ACTIVE,AGT0000032,BATCH,2026-06-17 11:12:41,2026-06,PERSONAL,15,NPA,524105.4
HISTORY0055436,ACC0008327,BRW0002905,2026-06-16 20:31:05,DELINQUENT,AGT0000096,CALL,2026-06-17 04:32:13,2026-06,CONSUMER,120,LOW,699452.69
HISTORY0019165,ACC0029645,BRW0001828,2026-06-16 20:23:58,NPA,AGT0000009,FIELD,2026-06-16 03:44:23,2026-06,AUTO,5,MEDIUM,440521.32
HISTORY0030179,ACC0007702,BRW0006862,2026-06-16 19:56:39,PAID,AGT0000010,CALL,2026-06-16 05:15:51,2026-06,BNPL,1,NPA,606593.37
HISTORY0029252,ACC0018807,BRW0010896,2026-06-16 19:56:23,DELINQUENT,AGT0000001,CALL,2026-06-16 13:45:54,2026-06,BNPL,75,NPA,116361.15
HISTORY0022196,ACC0012329,BRW0005660,2026-06-16 19:53:57,PAID,AGT0000005,FIELD,2026-06-16 12:00:24,2026-06,CONSUMER,75,NPA,684217.18
HISTORY0036052,ACC0006825,BRW0009583,2026-06-16 19:52:28,WRITEOFF,AGT0000076,CORE,2026-06-16 04:09:07,2026-06,CREDIT_CARD,30,HIGH,20913.34
HISTORY0055276,ACC0024302,BRW0011259,2026-06-16 19:46:19,PTP,AGT0000065,BATCH,2026-06-16 22:50:17,2026-06,PERSONAL,75,HIGH,404276.62
HISTORY0028002,ACC0028550,BRW0009956,2026-06-16 19:45:01,PAID,AGT0000021,CORE,2026-06-16 09:25:05,2026-06,CREDIT_CARD,45,MEDIUM,452744.36
HISTORY0035057,ACC0024454,BRW0004361,2026-06-16 19:41:41,NPA,AGT0000066,BATCH,2026-06-17 02:37:13,2026-06,AUTO,90,LOW,279355.41
HISTORY0026132,ACC0019151,BRW0004163,2026-06-16 19:40:54,CLOSED,AGT0000079,FIELD,2026-06-16 15:40:28,2026-06,AUTO,60,HIGH,92551.4
HISTORY0046394,ACC0009619,BRW0007057,2026-06-16 19:32:52,DELINQUENT,AGT0000007,FIELD,2026-06-16 15:38:10,2026-06,BNPL,180,MEDIUM,498062.69
HISTORY0021718,ACC0027051,BRW0010909,2026-06-16 19:27:15,PAID,AGT0000009,FIELD,2026-06-16 21:09:17,2026-06,CREDIT_CARD,120,HIGH,652083.78
HISTORY0037563,ACC0019032,BRW0004921,2026-06-16 19:24:49,PAID,AGT0000072,CALL,2026-06-17 05:14:33,2026-06,AUTO,15,HIGH,311831.9
HISTORY0059512,ACC0004108,BRW0002908,2026-06-16 19:21:48,DELINQUENT,AGT0000057,PAYMENT,2026-06-16 19:59:38,2026-06,PERSONAL,30,HIGH,514132.99
HISTORY0010283,ACC0018680,BRW0003609,2026-06-16 19:20:30,NPA,AGT0000021,CORE,2026-06-16 17:01:54,2026-06,PERSONAL,45,MEDIUM,363689.98
HISTORY0015611,ACC0027250,BRW0003417,2026-06-16 19:18:56,PTP,AGT0000046,PAYMENT,2026-06-16 22:21:09,2026-06,PERSONAL,30,LOW,505230.5
HISTORY0054413,ACC0026737,BRW0011301,2026-06-16 19:09:41,ACTIVE,SYSTEM,FIELD,2026-06-16 20:54:08,2026-06,PERSONAL,0,NPA,681983.82
HISTORY0003316,ACC0024379,BRW0003328,2026-06-16 19:09:07,WRITEOFF,AGT0000072,CORE,2026-06-16 19:27:20,2026-06,CREDIT_CARD,15,LOW,236188.86
HISTORY0051848,ACC0023374,BRW0000764,2026-06-16 18:51:36,PTP,AGT0000016,PAYMENT,2026-06-17 03:11:17,2026-06,BNPL,45,NPA,18391.1
HISTORY0008486,ACC0007435,BRW0001506,2026-06-16 18:46:16,PTP,AGT0000008,CORE,2026-06-16 21:50:21,2026-06,PERSONAL,120,NPA,363302.75
HISTORY0050200,ACC0017667,BRW0002168,2026-06-16 18:45:05,PTP,AGT0000100,CORE,2026-06-17 07:49:56,2026-06,BNPL,30,LOW,241335.93
HISTORY0024635,ACC0023731,BRW0011099,2026-06-16 18:39:21,PAID,AGT0000096,BATCH,2026-06-16 17:41:26,2026-06,CONSUMER,30,MEDIUM,450607.84
HISTORY0021046,ACC0023487,BRW0007838,2026-06-16 18:38:39,PAID,AGT0000014,BATCH,2026-06-17 10:48:29,2026-06,PERSONAL,15,LOW,358658.45
HISTORY0043071,ACC0026372,BRW0007068,2026-06-16 18:38:12,NPA,AGT0000003,FIELD,2026-06-16 06:19:02,2026-06,AUTO,30,LOW,444846.13
HISTORY0054236,ACC0009326,BRW0008826,2026-06-16 18:37:45,PTP,AGT0000096,CALL,2026-06-16 05:57:25,2026-06,CONSUMER,75,MEDIUM,90237.26
HISTORY0033707,ACC0018898,BRW0008108,2026-06-16 18:30:36,ACTIVE,AGT0000007,FIELD,2026-06-16 10:07:43,2026-06,PERSONAL,5,HIGH,289184.35
HISTORY0035421,ACC0006382,BRW0002156,2026-06-16 18:30:09,NPA,AGT0000021,CALL,2026-06-17 12:43:22,2026-06,AUTO,180,LOW,666244.56
HISTORY0045265,ACC0026907,BRW0005237,2026-06-16 18:23:59,PTP,AGT0000098,BATCH,2026-06-16 01:17:19,2026-06,CONSUMER,75,MEDIUM,681927.0
HISTORY0041741,ACC0003704,BRW0006870,2026-06-16 18:22:07,PAID,AGT0000072,CALL,2026-06-16 07:47:30,2026-06,AUTO,60,LOW,158570.48
HISTORY0050333,ACC0025437,BRW0000356,2026-06-16 18:15:43,PAID,AGT0000053,PAYMENT,2026-06-16 21:39:03,2026-06,CREDIT_CARD,0,HIGH,118881.74
HISTORY0022463,ACC0007477,BRW0005496,2026-06-16 18:13:38,ACTIVE,AGT0000071,CORE,2026-06-17 14:11:21,2026-06,CREDIT_CARD,90,NPA,271716.48
HISTORY0021175,ACC0009696,BRW0007521,2026-06-16 18:10:29,PTP,AGT0000074,FIELD,2026-06-17 07:21:47,2026-06,CREDIT_CARD,15,HIGH,555751.6
HISTORY0029462,ACC0019140,BRW0003717,2026-06-16 18:08:44,DELINQUENT,AGT0000042,PAYMENT,2026-06-16 10:56:21,2026-06,BNPL,0,NPA,666857.72
HISTORY0029770,ACC0013087,BRW0006235,2026-06-16 18:08:08,PAID,AGT0000059,PAYMENT,2026-06-16 02:01:08,2026-06,AUTO,45,HIGH,39397.96
HISTORY0004404,ACC0023945,BRW0006575,2026-06-16 18:05:34,PTP,AGT0000009,CALL,2026-06-15 21:19:12,2026-06,PERSONAL,0,LOW,85166.01
HISTORY0059015,ACC0019412,BRW0010047,2026-06-16 18:03:10,WRITEOFF,AGT0000079,FIELD,2026-06-15 19:11:03,2026-06,PERSONAL,45,HIGH,42321.08
HISTORY0031952,ACC0001991,BRW0011070,2026-06-16 18:02:48,WRITEOFF,AGT0000066,CORE,2026-06-17 13:51:30,2026-06,CONSUMER,75,NPA,646731.89
HISTORY0017734,ACC0016509,BRW0003756,2026-06-16 17:52:57,ACTIVE,AGT0000078,CORE,2026-06-16 09:22:38,2026-06,PERSONAL,120,LOW,60887.84
HISTORY0040679,ACC0010028,BRW0005156,2026-06-16 17:50:30,ACTIVE,AGT0000028,BATCH,2026-06-15 18:38:52,2026-06,PERSONAL,75,LOW,195016.85
HISTORY0015217,ACC0002174,BRW0009698,2026-06-16 17:44:38,PTP,AGT0000025,CORE,2026-06-16 00:30:45,2026-06,CONSUMER,90,HIGH,592984.3
HISTORY0014506,ACC0010344,BRW0003975,2026-06-16 17:41:23,PAID,AGT0000006,PAYMENT,2026-06-17 04:27:25,2026-06,PERSONAL,75,LOW,484415.91
HISTORY0034099,ACC0016269,BRW0002348,2026-06-16 17:36:34,PAID,AGT0000013,PAYMENT,2026-06-16 12:03:26,2026-06,PERSONAL,60,NPA,332356.99
HISTORY0031680,ACC0029187,BRW0008961,2026-06-16 17:31:35,CLOSED,AGT0000082,FIELD,2026-06-17 07:08:03,2026-06,PERSONAL,0,HIGH,436410.8
HISTORY0004487,ACC0008489,BRW0009251,2026-06-16 17:22:05,PAID,AGT0000008,PAYMENT,2026-06-16 00:20:13,2026-06,AUTO,120,LOW,565880.31
HISTORY0029205,ACC0016170,BRW0004976,2026-06-16 17:12:13,NPA,AGT0000079,PAYMENT,2026-06-16 04:00:54,2026-06,AUTO,15,MEDIUM,257110.67
HISTORY0018805,ACC0009861,BRW0001077,2026-06-16 17:10:49,NPA,AGT0000055,CALL,2026-06-15 19:56:02,2026-06,BNPL,5,LOW,35870.14
HISTORY0008454,ACC0025604,BRW0000689,2026-06-16 16:59:39,NPA,AGT0000027,FIELD,2026-06-15 18:11:20,2026-06,PERSONAL,120,NPA,367535.51
HISTORY0040875,ACC0025835,BRW0008167,2026-06-16 16:55:23,PAID,AGT0000074,CORE,2026-06-16 02:45:57,2026-06,PERSONAL,15,NPA,444400.51
HISTORY0032241,ACC0000936,BRW0009231,2026-06-16 16:48:25,ACTIVE,AGT0000016,FIELD,2026-06-17 04:49:29,2026-06,CREDIT_CARD,60,MEDIUM,656520.97
HISTORY0001819,ACC0013151,BRW0008071,2026-06-16 16:44:38,DELINQUENT,AGT0000090,CORE,2026-06-16 08:18:45,2026-06,CONSUMER,1,NPA,689778.54
HISTORY0020678,ACC0020687,BRW0007696,2026-06-16 16:41:56,CLOSED,AGT0000086,FIELD,2026-06-17 14:30:24,2026-06,BNPL,75,NPA,245706.08
HISTORY0003566,ACC0004377,BRW0010759,2026-06-16 16:38:30,CLOSED,AGT0000023,CORE,2026-06-16 23:14:28,2026-06,BNPL,180,HIGH,518068.0
HISTORY0010825,ACC0008495,BRW0003712,2026-06-16 16:36:27,NPA,AGT0000058,FIELD,2026-06-17 01:20:14,2026-06,CONSUMER,5,NPA,335517.12
HISTORY0014093,ACC0009136,BRW0004966,2026-06-16 16:34:28,CLOSED,AGT0000042,CORE,2026-06-16 09:55:48,2026-06,CREDIT_CARD,90,HIGH,241550.75
HISTORY0053369,ACC0002694,BRW0006466,2026-06-16 16:26:06,CLOSED,AGT0000049,BATCH,2026-06-16 17:47:51,2026-06,CONSUMER,0,MEDIUM,356981.13
HISTORY0047988,ACC0029580,BRW0005099,2026-06-16 16:25:53,DELINQUENT,AGT0000100,CORE,2026-06-15 23:32:12,2026-06,BNPL,45,MEDIUM,438685.84
HISTORY0041104,ACC0024920,BRW0011864,2026-06-16 16:19:22,WRITEOFF,AGT0000085,FIELD,2026-06-15 22:43:50,2026-06,PERSONAL,30,NPA,30969.17
HISTORY0022102,ACC0007858,BRW0000764,2026-06-16 16:10:58,NPA,AGT0000055,FIELD,2026-06-17 11:19:07,2026-06,BNPL,1,MEDIUM,687536.36
HISTORY0038909,ACC0002500,BRW0011602,2026-06-16 16:09:19,PAID,AGT0000039,PAYMENT,2026-06-16 13:14:20,2026-06,BNPL,1,HIGH,107177.62
HISTORY0033565,ACC0021555,BRW0004673,2026-06-16 16:04:01,PAID,AGT0000072,CORE,2026-06-16 21:10:34,2026-06,CREDIT_CARD,90,MEDIUM,103834.92
HISTORY0044810,ACC0003340,BRW0006415,2026-06-16 16:03:23,ACTIVE,AGT0000052,CALL,2026-06-16 04:55:01,2026-06,CREDIT_CARD,75,HIGH,623405.75
HISTORY0001067,ACC0019136,BRW0011286,2026-06-16 15:56:35,PTP,AGT0000074,BATCH,2026-06-17 13:14:47,2026-06,CONSUMER,1,NPA,177210.72
HISTORY0057788,ACC0008515,BRW0002148,2026-06-16 15:55:04,CLOSED,AGT0000029,PAYMENT,2026-06-16 04:37:58,2026-06,BNPL,60,HIGH,135066.34
HISTORY0055764,ACC0000443,BRW0002460,2026-06-16 15:55:04,PTP,AGT0000042,BATCH,2026-06-17 09:26:25,2026-06,AUTO,1,HIGH,385581.0
HISTORY0001382,ACC0016239,BRW0003147,2026-06-16 15:54:44,CLOSED,AGT0000032,CORE,2026-06-15 18:37:27,2026-06,AUTO,90,MEDIUM,333969.15
HISTORY0027756,ACC0027455,BRW0010885,2026-06-16 15:51:16,ACTIVE,AGT0000091,FIELD,2026-06-16 07:23:22,2026-06,CREDIT_CARD,5,NPA,266708.91
HISTORY0055298,ACC0027664,BRW0000950,2026-06-16 15:42:06,NPA,AGT0000081,FIELD,2026-06-16 04:03:37,2026-06,CREDIT_CARD,5,NPA,456433.19
HISTORY0034230,ACC0017564,BRW0005756,2026-06-16 15:34:43,NPA,AGT0000095,CALL,2026-06-16 19:43:46,2026-06,PERSONAL,30,HIGH,165860.73
HISTORY0004656,ACC0008513,BRW0001057,2026-06-16 15:32:53,WRITEOFF,AGT0000059,PAYMENT,2026-06-15 21:32:18,2026-06,PERSONAL,180,MEDIUM,112488.45
HISTORY0020779,ACC0026382,BRW0009829,2026-06-16 15:27:14,PTP,AGT0000061,CALL,2026-06-17 10:08:15,2026-06,PERSONAL,15,LOW,32233.15
HISTORY0002519,ACC0028718,BRW0006561,2026-06-16 15:26:19,ACTIVE,AGT0000066,PAYMENT,2026-06-17 05:55:10,2026-06,CONSUMER,0,MEDIUM,625676.11
HISTORY0003678,ACC0016948,BRW0007148,2026-06-16 15:23:19,PTP,AGT0000033,BATCH,2026-06-16 04:01:18,2026-06,CREDIT_CARD,15,NPA,135214.7
HISTORY0037318,ACC0026018,BRW0004718,2026-06-16 15:14:54,NPA,AGT0000026,PAYMENT,2026-06-16 08:40:18,2026-06,CONSUMER,0,NPA,250119.15
HISTORY0023433,ACC0008340,BRW0006950,2026-06-16 15:10:01,PTP,AGT0000036,FIELD,2026-06-15 23:28:18,2026-06,PERSONAL,5,MEDIUM,693090.99
HISTORY0036929,ACC0026710,BRW0007586,2026-06-16 15:03:35,ACTIVE,AGT0000069,FIELD,2026-06-16 07:13:35,2026-06,CONSUMER,75,NPA,213778.43
HISTORY0034071,ACC0020825,BRW0011878,2026-06-16 14:50:10,ACTIVE,AGT0000019,PAYMENT,2026-06-17 11:36:12,2026-06,CREDIT_CARD,15,NPA,639684.09
HISTORY0036709,ACC0002067,BRW0004615,2026-06-16 14:45:39,CLOSED,AGT0000063,BATCH,2026-06-17 12:35:26,2026-06,PERSONAL,75,LOW,38323.64
HISTORY0022739,ACC0014702,BRW0002074,2026-06-16 14:35:37,CLOSED,AGT0000029,CORE,2026-06-17 13:27:42,2026-06,AUTO,45,NPA,85355.61
HISTORY0027678,ACC0022909,BRW0004130,2026-06-16 14:35:15,CLOSED,AGT0000034,CORE,2026-06-17 13:47:33,2026-06,AUTO,30,HIGH,21443.91
HISTORY0006489,ACC0011406,BRW0006101,2026-06-16 14:33:28,DELINQUENT,AGT0000010,BATCH,2026-06-16 00:49:49,2026-06,CONSUMER,45,MEDIUM,482667.4
HISTORY0059400,ACC0003086,BRW0001758,2026-06-16 14:21:05,NPA,AGT0000062,FIELD,2026-06-15 17:48:06,2026-06,AUTO,15,NPA,167468.82
HISTORY0009701,ACC0014048,BRW0011894,2026-06-16 14:19:54,NPA,AGT0000041,BATCH,2026-06-17 13:43:59,2026-06,BNPL,60,HIGH,109226.73
HISTORY0026553,ACC0021931,BRW0011847,2026-06-16 14:06:19,ACTIVE,AGT0000069,PAYMENT,2026-06-16 20:55:27,2026-06,CREDIT_CARD,0,MEDIUM,45823.65
HISTORY0004863,ACC0002079,BRW0009272,2026-06-16 14:06:06,PAID,AGT0000032,BATCH,2026-06-17 05:37:12,2026-06,CONSUMER,1,LOW,21747.65
HISTORY0039287,ACC0013207,BRW0005868,2026-06-16 14:01:01,PAID,AGT0000074,CALL,2026-06-15 22:12:27,2026-06,AUTO,180,MEDIUM,219844.27
HISTORY0010642,ACC0003066,BRW0011060,2026-06-16 14:00:34,DELINQUENT,AGT0000009,FIELD,2026-06-16 00:58:31,2026-06,CONSUMER,120,MEDIUM,606027.26
HISTORY0012119,ACC0015075,BRW0008632,2026-06-16 13:56:02,WRITEOFF,AGT0000082,BATCH,2026-06-17 08:34:55,2026-06,CONSUMER,30,HIGH,223590.38
HISTORY0056953,ACC0004608,BRW0011289,2026-06-16 13:51:42,ACTIVE,AGT0000018,CALL,2026-06-16 23:58:04,2026-06,CREDIT_CARD,45,MEDIUM,248416.4
HISTORY0027468,ACC0000908,BRW0000687,2026-06-16 13:51:04,NPA,AGT0000098,FIELD,2026-06-16 21:25:39,2026-06,AUTO,1,MEDIUM,639803.89
HISTORY0000828,ACC0026186,BRW0003224,2026-06-16 13:49:16,DELINQUENT,AGT0000095,FIELD,2026-06-16 13:59:24,2026-06,AUTO,75,LOW,607702.48
HISTORY0024914,ACC0025574,BRW0006493,2026-06-16 13:40:02,PTP,AGT0000023,FIELD,2026-06-16 14:49:24,2026-06,CONSUMER,180,LOW,673078.56
HISTORY0012469,ACC0016135,BRW0001566,2026-06-16 13:34:07,WRITEOFF,AGT0000064,PAYMENT,2026-06-17 11:40:19,2026-06,CREDIT_CARD,1,MEDIUM,257670.7
HISTORY0038609,ACC0010364,BRW0011127,2026-06-16 13:31:55,NPA,AGT0000049,FIELD,2026-06-17 06:24:17,2026-06,BNPL,15,LOW,599494.82
HISTORY0028437,ACC0009569,BRW0003585,2026-06-16 13:29:53,WRITEOFF,AGT0000045,PAYMENT,2026-06-16 19:14:26,2026-06,AUTO,120,MEDIUM,201749.95
HISTORY0057511,ACC0002309,BRW0001639,2026-06-16 13:22:44,ACTIVE,AGT0000061,PAYMENT,2026-06-16 23:07:21,2026-06,BNPL,45,MEDIUM,695893.99
HISTORY0043537,ACC0019527,BRW0000217,2026-06-16 13:21:33,ACTIVE,AGT0000073,CORE,2026-06-17 07:41:53,2026-06,BNPL,75,LOW,651175.24
HISTORY0036375,ACC0020946,BRW0008779,2026-06-16 13:09:09,PTP,AGT0000002,PAYMENT,2026-06-17 11:56:10,2026-06,CONSUMER,45,LOW,596323.8
HISTORY0029431,ACC0013124,BRW0005160,2026-06-16 13:03:19,DELINQUENT,AGT0000065,BATCH,2026-06-16 11:14:59,2026-06,CONSUMER,75,HIGH,203145.57
HISTORY0022097,ACC0025260,BRW0005753,2026-06-16 12:53:13,NPA,AGT0000013,FIELD,2026-06-17 11:32:53,2026-06,CONSUMER,180,LOW,56161.54
HISTORY0018856,ACC0016542,BRW0004833,2026-06-16 12:51:09,PAID,AGT0000093,PAYMENT,2026-06-16 23:32:30,2026-06,PERSONAL,90,LOW,141628.85
HISTORY0057032,ACC0024363,BRW0000361,2026-06-16 12:38:38,PTP,AGT0000051,PAYMENT,2026-06-16 20:46:12,2026-06,CONSUMER,75,NPA,348100.39
HISTORY0032156,ACC0026711,BRW0000744,2026-06-16 12:36:44,PTP,AGT0000042,CORE,2026-06-15 15:06:40,2026-06,BNPL,5,LOW,64274.66
HISTORY0010974,ACC0020379,BRW0004790,2026-06-16 12:32:57,ACTIVE,AGT0000051,PAYMENT,2026-06-16 20:44:52,2026-06,CREDIT_CARD,75,LOW,566263.04
HISTORY0013282,ACC0029325,BRW0011459,2026-06-16 12:30:06,PAID,AGT0000076,CALL,2026-06-16 01:36:26,2026-06,CREDIT_CARD,0,MEDIUM,196773.12
HISTORY0053925,ACC0020380,BRW0005162,2026-06-16 12:20:14,CLOSED,AGT0000098,PAYMENT,2026-06-16 21:00:54,2026-06,CREDIT_CARD,45,NPA,46566.92
HISTORY0019740,ACC0001041,BRW0011347,2026-06-16 12:18:15,CLOSED,AGT0000100,CORE,2026-06-16 13:56:28,2026-06,CREDIT_CARD,120,HIGH,263286.0
HISTORY0027426,ACC0006569,BRW0008527,2026-06-16 12:16:04,PAID,AGT0000055,FIELD,2026-06-15 21:56:20,2026-06,CONSUMER,90,HIGH,479566.28
HISTORY0055090,ACC0016580,BRW0010087,2026-06-16 12:15:10,DELINQUENT,AGT0000008,CORE,2026-06-16 08:31:33,2026-06,CONSUMER,45,HIGH,154621.77
HISTORY0008440,ACC0002198,BRW0000972,2026-06-16 11:56:22,DELINQUENT,AGT0000085,CORE,2026-06-17 02:02:42,2026-06,BNPL,90,HIGH,143528.72
HISTORY0043567,ACC0013727,BRW0003696,2026-06-16 11:54:19,PTP,AGT0000006,PAYMENT,2026-06-15 23:08:29,2026-06,CREDIT_CARD,60,NPA,453346.87
HISTORY0025559,ACC0018999,BRW0001042,2026-06-16 11:46:07,ACTIVE,AGT0000055,BATCH,2026-06-15 20:57:12,2026-06,CREDIT_CARD,0,MEDIUM,229299.62
HISTORY0014323,ACC0009471,BRW0009607,2026-06-16 11:39:03,NPA,AGT0000032,CORE,2026-06-17 04:53:40,2026-06,PERSONAL,1,NPA,579097.27
HISTORY0032104,ACC0009784,BRW0000691,2026-06-16 11:21:06,ACTIVE,AGT0000056,CALL,2026-06-16 12:31:02,2026-06,BNPL,60,NPA,142189.05
HISTORY0006214,ACC0003481,BRW0004205,2026-06-16 11:17:32,PAID,AGT0000075,BATCH,2026-06-15 11:20:00,2026-06,PERSONAL,75,MEDIUM,377385.84
HISTORY0014553,ACC0025657,BRW0009976,2026-06-16 11:17:18,WRITEOFF,AGT0000022,CORE,2026-06-16 04:23:47,2026-06,BNPL,180,NPA,417725.83
HISTORY0004790,ACC0000309,BRW0007608,2026-06-16 11:14:18,NPA,AGT0000043,CALL,2026-06-17 07:53:47,2026-06,BNPL,60,HIGH,296281.61
HISTORY0026809,ACC0018929,BRW0003859,2026-06-16 11:04:56,CLOSED,AGT0000015,BATCH,2026-06-17 01:27:00,2026-06,PERSONAL,15,LOW,299011.17
HISTORY0038576,ACC0018370,BRW0011626,2026-06-16 10:58:21,CLOSED,AGT0000063,CALL,2026-06-17 07:16:54,2026-06,BNPL,5,NPA,11746.03
HISTORY0029425,ACC0026556,BRW0007588,2026-06-16 10:57:52,WRITEOFF,AGT0000022,CORE,2026-06-16 09:54:09,2026-06,CONSUMER,45,NPA,63098.11
HISTORY0015269,ACC0024448,BRW0010764,2026-06-16 10:41:32,PAID,AGT0000007,PAYMENT,2026-06-16 21:06:05,2026-06,CONSUMER,60,NPA,683039.15
HISTORY0059482,ACC0003234,BRW0007602,2026-06-16 10:39:04,NPA,AGT0000082,FIELD,2026-06-15 16:16:50,2026-06,CREDIT_CARD,1,HIGH,651789.06
HISTORY0005101,ACC0013378,BRW0007836,2026-06-16 10:36:27,PTP,AGT0000069,FIELD,2026-06-17 02:57:24,2026-06,AUTO,45,HIGH,211702.15
HISTORY0022088,ACC0014688,BRW0009808,2026-06-16 10:34:03,CLOSED,AGT0000075,BATCH,2026-06-16 14:42:16,2026-06,CREDIT_CARD,120,NPA,193256.08
HISTORY0045305,ACC0011721,BRW0004417,2026-06-16 10:30:20,DELINQUENT,AGT0000014,BATCH,2026-06-16 07:05:38,2026-06,BNPL,60,NPA,483345.98
HISTORY0012414,ACC0026000,BRW0009235,2026-06-16 10:25:50,DELINQUENT,AGT0000069,BATCH,2026-06-16 11:55:10,2026-06,BNPL,45,LOW,274481.42
HISTORY0035714,ACC0026236,BRW0005791,2026-06-16 10:23:31,PAID,AGT0000005,CORE,2026-06-17 00:03:55,2026-06,BNPL,1,LOW,455808.27
HISTORY0012369,ACC0014101,BRW0007549,2026-06-16 10:18:03,ACTIVE,AGT0000076,BATCH,2026-06-15 11:08:17,2026-06,AUTO,120,NPA,604826.47
HISTORY0013553,ACC0012623,BRW0001627,2026-06-16 10:09:55,WRITEOFF,AGT0000092,CORE,2026-06-16 00:57:20,2026-06,CREDIT_CARD,45,NPA,387436.2
HISTORY0022616,ACC0027786,BRW0005273,2026-06-16 10:02:52,CLOSED,AGT0000096,CORE,2026-06-15 17:27:26,2026-06,PERSONAL,15,MEDIUM,287096.42
HISTORY0009062,ACC0024620,BRW0002227,2026-06-16 09:50:13,NPA,AGT0000077,FIELD,2026-06-16 17:05:19,2026-06,CONSUMER,0,NPA,666185.52
HISTORY0010829,ACC0024300,BRW0003378,2026-06-16 09:42:27,ACTIVE,AGT0000028,CALL,2026-06-15 17:35:02,2026-06,PERSONAL,15,LOW,451038.33
HISTORY0052169,ACC0028713,BRW0007207,2026-06-16 09:37:33,NPA,AGT0000051,BATCH,2026-06-15 23:42:38,2026-06,CONSUMER,45,NPA,536740.14
HISTORY0039308,ACC0021885,BRW0009174,2026-06-16 09:33:40,NPA,AGT0000031,PAYMENT,2026-06-15 12:22:50,2026-06,CREDIT_CARD,180,LOW,588517.66
HISTORY0059471,ACC0019192,BRW0002686,2026-06-16 09:25:27,PAID,AGT0000062,BATCH,2026-06-15 20:08:04,2026-06,CREDIT_CARD,60,LOW,196685.87
HISTORY0003183,ACC0003867,BRW0002226,2026-06-16 09:22:43,DELINQUENT,AGT0000036,CORE,2026-06-16 10:10:02,2026-06,CREDIT_CARD,15,NPA,374303.36
HISTORY0045945,ACC0023348,BRW0006836,2026-06-16 09:20:22,CLOSED,AGT0000018,CALL,2026-06-17 06:36:38,2026-06,PERSONAL,1,MEDIUM,301168.63
HISTORY0008264,ACC0022749,BRW0011399,2026-06-16 09:18:05,WRITEOFF,AGT0000047,BATCH,2026-06-16 00:56:38,2026-06,CREDIT_CARD,90,HIGH,326121.48
HISTORY0058224,ACC0029566,BRW0001859,2026-06-16 09:14:44,PTP,AGT0000080,FIELD,2026-06-16 14:47:52,2026-06,AUTO,75,HIGH,11187.42
